"exchange","bid","ask","time","created_at"
"coincheck","486111.0","486299.0","1502783749","2017-08-15 07:55:49 UTC"
"zaif","485610.0","485990.0","1502783749","2017-08-15 07:55:49 UTC"
"coincheck","485994.0","486103.0","1502783751","2017-08-15 07:55:51 UTC"
"zaif","485610.0","485985.0","1502783751","2017-08-15 07:55:51 UTC"
"coincheck","485999.0","486103.0","1502783753","2017-08-15 07:55:53 UTC"
"zaif","485610.0","485745.0","1502783753","2017-08-15 07:55:53 UTC"
"coincheck","485950.0","485973.0","1502783755","2017-08-15 07:55:55 UTC"
"zaif","485610.0","485745.0","1502783755","2017-08-15 07:55:55 UTC"
"coincheck","485950.0","485973.0","1502783758","2017-08-15 07:55:58 UTC"
"zaif","485615.0","485745.0","1502783758","2017-08-15 07:55:58 UTC"
"coincheck","485900.0","485906.0","1502783760","2017-08-15 07:56:00 UTC"
"zaif","485615.0","485745.0","1502783760","2017-08-15 07:56:00 UTC"
"coincheck","485900.0","485906.0","1502783762","2017-08-15 07:56:02 UTC"
"zaif","485620.0","485745.0","1502783762","2017-08-15 07:56:02 UTC"
"coincheck","485900.0","485906.0","1502783763","2017-08-15 07:56:03 UTC"
"zaif","485625.0","485745.0","1502783764","2017-08-15 07:56:04 UTC"
"coincheck","485900.0","485904.0","1502783766","2017-08-15 07:56:06 UTC"
"zaif","485625.0","485745.0","1502783766","2017-08-15 07:56:06 UTC"
"coincheck","485900.0","485904.0","1502783768","2017-08-15 07:56:08 UTC"
"zaif","485630.0","485745.0","1502783768","2017-08-15 07:56:08 UTC"
"coincheck","485900.0","485950.0","1502783770","2017-08-15 07:56:10 UTC"
"zaif","485630.0","485740.0","1502783770","2017-08-15 07:56:10 UTC"
"coincheck","485814.0","485848.0","1502783772","2017-08-15 07:56:12 UTC"
"zaif","485635.0","485955.0","1502783772","2017-08-15 07:56:12 UTC"
"coincheck","485819.0","485857.0","1502783774","2017-08-15 07:56:14 UTC"
"zaif","485635.0","485820.0","1502783774","2017-08-15 07:56:14 UTC"
"coincheck","485824.0","486127.0","1502783777","2017-08-15 07:56:17 UTC"
"zaif","485645.0","485815.0","1502783777","2017-08-15 07:56:17 UTC"
"coincheck","485839.0","486122.0","1502783779","2017-08-15 07:56:19 UTC"
"zaif","485650.0","485820.0","1502783779","2017-08-15 07:56:19 UTC"
"coincheck","485844.0","486126.0","1502783781","2017-08-15 07:56:21 UTC"
"zaif","485655.0","485815.0","1502783781","2017-08-15 07:56:21 UTC"
"coincheck","485854.0","486122.0","1502783783","2017-08-15 07:56:23 UTC"
"zaif","485655.0","485815.0","1502783783","2017-08-15 07:56:23 UTC"
"coincheck","485859.0","486121.0","1502783785","2017-08-15 07:56:25 UTC"
"zaif","485660.0","485815.0","1502783785","2017-08-15 07:56:25 UTC"
"coincheck","485864.0","486109.0","1502783787","2017-08-15 07:56:27 UTC"
"zaif","485660.0","485810.0","1502783787","2017-08-15 07:56:27 UTC"
"coincheck","485876.0","486097.0","1502783789","2017-08-15 07:56:29 UTC"
"zaif","485660.0","485810.0","1502783789","2017-08-15 07:56:29 UTC"
"coincheck","485840.0","486072.0","1502783791","2017-08-15 07:56:31 UTC"
"zaif","485670.0","485810.0","1502783791","2017-08-15 07:56:31 UTC"
"coincheck","485840.0","485844.0","1502783792","2017-08-15 07:56:32 UTC"
"zaif","485665.0","485810.0","1502783793","2017-08-15 07:56:33 UTC"
"coincheck","485839.0","485864.0","1502783794","2017-08-15 07:56:34 UTC"
"zaif","485905.0","485985.0","1502783794","2017-08-15 07:56:34 UTC"
"coincheck","485839.0","486063.0","1502783796","2017-08-15 07:56:36 UTC"
"zaif","485910.0","485985.0","1502783797","2017-08-15 07:56:37 UTC"
"coincheck","485813.0","485840.0","1502783798","2017-08-15 07:56:38 UTC"
"zaif","485850.0","485955.0","1502783798","2017-08-15 07:56:38 UTC"
"coincheck","485762.0","485835.0","1502783800","2017-08-15 07:56:40 UTC"
"zaif","485855.0","485900.0","1502783801","2017-08-15 07:56:41 UTC"
"coincheck","485810.0","485811.0","1502783803","2017-08-15 07:56:43 UTC"
"zaif","485730.0","485900.0","1502783803","2017-08-15 07:56:43 UTC"
"coincheck","485671.0","485711.0","1502783804","2017-08-15 07:56:44 UTC"
"zaif","485855.0","485895.0","1502783805","2017-08-15 07:56:45 UTC"
"coincheck","485820.0","486098.0","1502783806","2017-08-15 07:56:46 UTC"
"zaif","485855.0","485895.0","1502783807","2017-08-15 07:56:47 UTC"
"coincheck","485825.0","486100.0","1502783808","2017-08-15 07:56:48 UTC"
"zaif","485895.0","485900.0","1502783808","2017-08-15 07:56:48 UTC"
"coincheck","485838.0","486087.0","1502783810","2017-08-15 07:56:50 UTC"
"zaif","485850.0","486000.0","1502783810","2017-08-15 07:56:50 UTC"
"coincheck","485843.0","486099.0","1502783812","2017-08-15 07:56:52 UTC"
"zaif","485895.0","486000.0","1502783812","2017-08-15 07:56:52 UTC"
"coincheck","485848.0","486100.0","1502783814","2017-08-15 07:56:54 UTC"
"zaif","485895.0","485995.0","1502783814","2017-08-15 07:56:54 UTC"
"coincheck","485858.0","486100.0","1502783815","2017-08-15 07:56:55 UTC"
"zaif","485895.0","485995.0","1502783816","2017-08-15 07:56:56 UTC"
"coincheck","485862.0","486127.0","1502783817","2017-08-15 07:56:57 UTC"
"zaif","485895.0","485990.0","1502783818","2017-08-15 07:56:58 UTC"
"coincheck","485870.0","486127.0","1502783819","2017-08-15 07:56:59 UTC"
"zaif","485900.0","485985.0","1502783819","2017-08-15 07:56:59 UTC"
"coincheck","485883.0","486051.0","1502783821","2017-08-15 07:57:01 UTC"
"zaif","485900.0","485985.0","1502783821","2017-08-15 07:57:01 UTC"
"coincheck","485887.0","486051.0","1502783823","2017-08-15 07:57:03 UTC"
"zaif","485905.0","485985.0","1502783823","2017-08-15 07:57:03 UTC"
"coincheck","485891.0","486051.0","1502783824","2017-08-15 07:57:04 UTC"
"zaif","485905.0","485980.0","1502783825","2017-08-15 07:57:05 UTC"
"coincheck","485901.0","486051.0","1502783827","2017-08-15 07:57:07 UTC"
"zaif","485905.0","485980.0","1502783827","2017-08-15 07:57:07 UTC"
"coincheck","485902.0","486051.0","1502783828","2017-08-15 07:57:08 UTC"
"zaif","485910.0","485975.0","1502783829","2017-08-15 07:57:09 UTC"
"coincheck","485907.0","486119.0","1502783831","2017-08-15 07:57:11 UTC"
"zaif","485910.0","485975.0","1502783831","2017-08-15 07:57:11 UTC"
"coincheck","485911.0","486119.0","1502783832","2017-08-15 07:57:12 UTC"
"zaif","485910.0","485975.0","1502783832","2017-08-15 07:57:12 UTC"
"coincheck","485915.0","486118.0","1502783834","2017-08-15 07:57:14 UTC"
"zaif","485945.0","486000.0","1502783835","2017-08-15 07:57:15 UTC"
"coincheck","485925.0","486119.0","1502783837","2017-08-15 07:57:17 UTC"
"zaif","485910.0","485970.0","1502783837","2017-08-15 07:57:17 UTC"
"coincheck","485935.0","486120.0","1502783838","2017-08-15 07:57:18 UTC"
"zaif","485915.0","485970.0","1502783838","2017-08-15 07:57:18 UTC"
"coincheck","485943.0","486120.0","1502783840","2017-08-15 07:57:20 UTC"
"zaif","485915.0","485965.0","1502783840","2017-08-15 07:57:20 UTC"
"coincheck","485948.0","486120.0","1502783842","2017-08-15 07:57:22 UTC"
"zaif","485915.0","485965.0","1502783842","2017-08-15 07:57:22 UTC"
"coincheck","485955.0","486120.0","1502783844","2017-08-15 07:57:24 UTC"
"zaif","485920.0","485965.0","1502783844","2017-08-15 07:57:24 UTC"
"coincheck","486007.0","486120.0","1502783846","2017-08-15 07:57:26 UTC"
"zaif","485920.0","485960.0","1502783846","2017-08-15 07:57:26 UTC"
"coincheck","486014.0","486120.0","1502783848","2017-08-15 07:57:28 UTC"
"zaif","485920.0","485960.0","1502783848","2017-08-15 07:57:28 UTC"
"coincheck","486016.0","486120.0","1502783850","2017-08-15 07:57:30 UTC"
"zaif","485925.0","485960.0","1502783850","2017-08-15 07:57:30 UTC"
"coincheck","486021.0","486120.0","1502783852","2017-08-15 07:57:32 UTC"
"zaif","485925.0","485955.0","1502783852","2017-08-15 07:57:32 UTC"
"coincheck","486070.0","486119.0","1502783853","2017-08-15 07:57:33 UTC"
"zaif","485925.0","485955.0","1502783854","2017-08-15 07:57:34 UTC"
"coincheck","486072.0","486120.0","1502783855","2017-08-15 07:57:35 UTC"
"zaif","485925.0","485995.0","1502783855","2017-08-15 07:57:35 UTC"
"coincheck","486075.0","486117.0","1502783857","2017-08-15 07:57:37 UTC"
"zaif","485925.0","485995.0","1502783857","2017-08-15 07:57:37 UTC"
"coincheck","486007.0","486119.0","1502783859","2017-08-15 07:57:39 UTC"
"zaif","485930.0","485995.0","1502783859","2017-08-15 07:57:39 UTC"
"coincheck","486001.0","486114.0","1502783861","2017-08-15 07:57:41 UTC"
"zaif","485930.0","485965.0","1502783861","2017-08-15 07:57:41 UTC"
"coincheck","486002.0","486120.0","1502783862","2017-08-15 07:57:42 UTC"
"zaif","485930.0","485965.0","1502783863","2017-08-15 07:57:43 UTC"
"coincheck","486008.0","486120.0","1502783864","2017-08-15 07:57:44 UTC"
"zaif","485920.0","485995.0","1502783864","2017-08-15 07:57:44 UTC"
"coincheck","486011.0","486115.0","1502783866","2017-08-15 07:57:46 UTC"
"zaif","485925.0","485990.0","1502783868","2017-08-15 07:57:48 UTC"
"coincheck","486016.0","486120.0","1502783869","2017-08-15 07:57:49 UTC"
"zaif","485995.0","486125.0","1502783869","2017-08-15 07:57:49 UTC"
"coincheck","486066.0","486120.0","1502783871","2017-08-15 07:57:51 UTC"
"zaif","485925.0","486045.0","1502783871","2017-08-15 07:57:51 UTC"
"coincheck","486073.0","486120.0","1502783873","2017-08-15 07:57:53 UTC"
"zaif","485930.0","485990.0","1502783874","2017-08-15 07:57:54 UTC"
"coincheck","486073.0","486118.0","1502783876","2017-08-15 07:57:56 UTC"
"zaif","485930.0","485990.0","1502783876","2017-08-15 07:57:56 UTC"
"coincheck","486073.0","486120.0","1502783878","2017-08-15 07:57:58 UTC"
"zaif","485990.0","486275.0","1502783878","2017-08-15 07:57:58 UTC"
"coincheck","486073.0","486120.0","1502783880","2017-08-15 07:58:00 UTC"
"zaif","485995.0","486245.0","1502783880","2017-08-15 07:58:00 UTC"
"coincheck","486121.0","486127.0","1502783881","2017-08-15 07:58:01 UTC"
"zaif","486000.0","486275.0","1502783882","2017-08-15 07:58:02 UTC"
"coincheck","486435.0","486499.0","1502783883","2017-08-15 07:58:03 UTC"
"zaif","486000.0","486530.0","1502783884","2017-08-15 07:58:04 UTC"
"coincheck","486436.0","486499.0","1502783885","2017-08-15 07:58:05 UTC"
"zaif","486380.0","486395.0","1502783886","2017-08-15 07:58:06 UTC"
"coincheck","486495.0","486499.0","1502783887","2017-08-15 07:58:07 UTC"
"zaif","485935.0","486000.0","1502783888","2017-08-15 07:58:08 UTC"
"coincheck","486495.0","486605.0","1502783889","2017-08-15 07:58:09 UTC"
"zaif","485940.0","486000.0","1502783889","2017-08-15 07:58:09 UTC"
"coincheck","486583.0","486799.0","1502783891","2017-08-15 07:58:11 UTC"
"zaif","486380.0","486495.0","1502783891","2017-08-15 07:58:11 UTC"
"coincheck","486699.0","486800.0","1502783892","2017-08-15 07:58:12 UTC"
"zaif","486380.0","486495.0","1502783893","2017-08-15 07:58:13 UTC"
